#TYPE System.Management.Automation.PSCustomObject
"Odds";"wallet";"Bet_base";"Bet_moonBase";"Bet_current";"Payout_base";"Payout_moonBase";"Payout_current";"Counter_now_win";"Counter_now_loss";"Counter_now_red";"Counter_now_green";"Counter_now_noyellow";"Counter_all_win";"Counter_all_loss";"Counter_all_red";"Counter_all_green";"Counter_all_yellow";"moonBetting";"placebet"
"1,1";"0,04";"0,00004";"0,0004";"0,00004";"3";"10";"3";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"False";"True"
"2,44";"0,03996";"0,00004";"0,0004";"0,000104";"3";"10";"3";"0";"1";"0";"1";"2";"0";"1";"1";"1";"0";"False";"True"
"7,45";"0,040272";"0,00004";"0,0004";"0,00004";"3";"10";"3";"1";"0";"0";"2";"3";"1";"1";"1";"2";"0";"False";"True"
"1,56";"0,040232000000000004";"0,00004";"0,0004";"0,000104";"3";"10";"3";"0";"1";"1";"0";"4";"1";"2";"2";"2";"0";"False";"True"
"1,55";"0,040128000000000004";"0,00004";"0,0004";"0,00025";"3";"10";"3";"0";"2";"2";"0";"5";"1";"3";"3";"2";"0";"False";"True"
"3,74";"0,040878000000000005";"0,00004";"0,00041";"0,00004";"3";"10";"3";"1";"0";"0";"1";"6";"2";"3";"3";"3";"0";"False";"True"
"6,42";"0,04099800000000001";"0,00004";"0,00041";"0,00004";"3";"10";"3";"2";"0";"0";"2";"7";"3";"3";"3";"4";"0";"False";"False"
"7,49";"0,04099800000000001";"0,00004";"0,00041";"0,00004";"3";"10";"3";"0";"0";"0";"3";"8";"3";"3";"3";"5";"0";"False";"False"
"1,9";"0,04099800000000001";"0,00004";"0,00041";"0,00004";"3";"10";"3";"0";"0";"1";"0";"9";"3";"3";"4";"5";"0";"False";"True"
"3,18";"0,04111800000000001";"0,00004";"0,00041";"0,00004";"3";"10";"3";"1";"0";"0";"1";"10";"4";"3";"4";"6";"0";"False";"True"
"1,76";"0,04107800000000001";"0,00004";"0,00041";"0,000104";"3";"10";"3";"0";"1";"1";"0";"11";"4";"4";"5";"6";"0";"False";"True"
"2,07";"0,04097400000000001";"0,00004";"0,00041";"0,00025";"3";"10";"3";"0";"2";"0";"1";"12";"4";"5";"5";"7";"0";"False";"True"
"2,41";"0,04072400000000001";"0,00004";"0,00041";"0,00055";"3";"10";"3";"0";"3";"0";"2";"13";"4";"6";"5";"8";"0";"False";"True"
"1,55";"0,04017400000000001";"0,00004";"0,0004";"0,0011";"3";"10";"3";"0";"4";"1";"0";"14";"4";"7";"6";"8";"0";"False";"True"
"1,92";"0,03907400000000001";"0,00004";"0,00039";"0,0022";"3";"10";"3";"0";"5";"2";"0";"15";"4";"8";"7";"8";"0";"False";"True"
"11,81";"0,04567400000000001";"0,00005";"0,00046";"0,00005";"3";"10";"3";"1";"0";"0";"1";"0";"5";"8";"7";"9";"1";"False";"True"
"13,71";"0,04582400000000001";"0,00005";"0,00046";"0,00005";"3";"10";"3";"2";"0";"0";"2";"0";"6";"8";"7";"10";"2";"False";"False"
"1,05";"0,04582400000000001";"0,00005";"0,00046";"0,00005";"3";"10";"3";"0";"0";"1";"0";"1";"6";"8";"8";"10";"2";"False";"True"
"1,27";"0,04577400000000001";"0,00005";"0,00046";"0,00013";"3";"10";"3";"0";"1";"2";"0";"2";"6";"9";"9";"10";"2";"False";"True"
"1,77";"0,04564400000000001";"0,00005";"0,00046";"0,000312";"3";"10";"3";"0";"2";"3";"0";"3";"6";"10";"10";"10";"2";"False";"True"
"2,82";"0,04533200000000001";"0,00005";"0,00045";"0,000686";"3";"10";"3";"0";"3";"0";"1";"4";"6";"11";"10";"11";"2";"False";"True"
"2,78";"0,04464600000000001";"0,00004";"0,00045";"0,001372";"3";"10";"3";"0";"4";"0";"2";"5";"6";"12";"10";"12";"2";"False";"True"
"1,86";"0,043274000000000014";"0,00004";"0,00043";"0,002744";"3";"10";"3";"0";"5";"1";"0";"6";"6";"13";"11";"12";"2";"False";"True"
"1,24";"0,04053000000000001";"0,00004";"0,00041";"0,005488";"3";"10";"3";"0";"6";"2";"0";"7";"6";"14";"12";"12";"2";"False";"True"
"1,58";"0,03504200000000001";"0,00004";"0,00035";"0,010976";"3";"10";"3";"0";"7";"3";"0";"8";"6";"15";"13";"12";"2";"False";"True"
"1,97";"0,02406600000000001";"0,00002";"0,00024";"0,00002";"3";"10";"3";"0";"8";"4";"0";"9";"6";"16";"14";"12";"2";"False";"False"
"1,99";"0,02406600000000001";"0,00002";"0,00024";"0,00002";"3";"10";"3";"0";"0";"5";"0";"10";"6";"16";"15";"12";"2";"False";"False"
"7,9";"0,02406600000000001";"0,00002";"0,00024";"0,00002";"3";"10";"3";"0";"0";"0";"1";"11";"6";"16";"15";"13";"2";"False";"False"
"1,1";"0,02406600000000001";"0,00002";"0,00024";"0,00002";"3";"10";"3";"0";"0";"1";"0";"12";"6";"16";"16";"13";"2";"False";"True"
"114,21";"0,024126000000000012";"0,00002";"0,00024";"0,00002";"3";"10";"3";"1";"0";"0";"1";"0";"7";"16";"16";"14";"3";"False";"True"
