#TYPE System.Management.Automation.PSCustomObject
"Odds";"wallet";"Bet_base";"Bet_moonBase";"Bet_current";"Payout_base";"Payout_moonBase";"Payout_current";"Counter_now_win";"Counter_now_loss";"Counter_now_red";"Counter_now_green";"Counter_now_noyellow";"Counter_all_win";"Counter_all_loss";"Counter_all_red";"Counter_all_green";"Counter_all_yellow";"moonBetting";"placebet"
"1,1";"10000";"10";"100";"10";"3";"10";"3";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"False";"True"
"2,44";"9990";"9,99";"99,9";"22";"3";"10";"3";"0";"1";"0";"1";"2";"0";"1";"1";"1";"0";"False";"True"
"7,45";"10056";"10,056";"100,56";"10,056";"3";"10";"3";"1";"0";"0";"2";"3";"1";"1";"1";"2";"0";"False";"False"
"1,56";"10056";"10,056";"100,56";"10,056";"3";"10";"3";"0";"0";"1";"0";"4";"1";"1";"2";"2";"0";"False";"True"
"1,55";"10045,944";"10,046";"100,459";"22,1232";"3";"10";"3";"0";"1";"2";"0";"5";"1";"2";"3";"2";"0";"False";"True"
"3,74";"10112,3136";"10,112";"101,123";"10,112";"3";"10";"3";"1";"0";"0";"1";"6";"2";"2";"3";"3";"0";"False";"False"
"6,42";"10112,3136";"10,112";"101,123";"10,112";"3";"10";"3";"0";"0";"0";"2";"7";"2";"2";"3";"4";"0";"False";"False"
"7,49";"10112,3136";"10,112";"101,123";"10,112";"3";"10";"3";"0";"0";"0";"3";"8";"2";"2";"3";"5";"0";"False";"False"
"1,9";"10112,3136";"10,112";"101,123";"10,112";"3";"10";"3";"0";"0";"1";"0";"9";"2";"2";"4";"5";"0";"False";"True"
"3,18";"10142,649599999999";"10,143";"101,426";"10,143";"3";"10";"3";"1";"0";"0";"1";"10";"3";"2";"4";"6";"0";"False";"False"
"1,76";"10142,649599999999";"10,143";"101,426";"10,143";"3";"10";"3";"0";"0";"1";"0";"11";"3";"2";"5";"6";"0";"False";"True"
"2,07";"10132,506599999999";"10,133";"101,325";"22,3146";"3";"10";"3";"0";"1";"0";"1";"12";"3";"3";"5";"7";"0";"False";"True"
"2,41";"10110,192";"10,11";"101,102";"49,0921";"3";"10";"3";"0";"2";"0";"2";"13";"3";"4";"5";"8";"0";"False";"True"
"1,55";"10061,0999";"10,061";"100,611";"108,0026";"3";"10";"3";"0";"3";"1";"0";"14";"3";"5";"6";"8";"0";"False";"True"
