#TYPE System.Management.Automation.PSCustomObject
"Odds";"wallet";"Bet_base";"Bet_moonBase";"Bet_current";"Payout_base";"Payout_moonBase";"Payout_current";"Counter_now_win";"Counter_now_loss";"Counter_now_red";"Counter_now_green";"Counter_now_noyellow";"Counter_all_win";"Counter_all_loss";"Counter_all_red";"Counter_all_green";"Counter_all_yellow";"moonBetting";"placebet"
"1,1";"10000";"2,3638";"36,2015";"2,3638";"3";"10";"3";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"False";"True"
"2,44";"9997,6362";"2,3638";"36,2015";"4,964";"3";"10";"3";"0";"1";"0";"1";"2";"0";"1";"1";"1";"0";"False";"True"
"7,45";"10012,5282";"2,3638";"36,2015";"2,3638";"3";"10";"3";"1";"0";"0";"2";"3";"1";"1";"1";"2";"0";"False";"True"
"1,56";"10010,164400000001";"2,3638";"36,2015";"4,964";"3";"10";"3";"0";"1";"1";"0";"4";"1";"2";"2";"2";"0";"False";"True"
"1,55";"10005,200400000002";"2,3638";"36,2015";"10,9208";"3";"10";"3";"0";"2";"2";"0";"5";"1";"3";"3";"2";"0";"False";"True"
"3,74";"10037,962800000001";"2,3638";"36,2015";"2,3638";"3";"10";"3";"1";"0";"0";"1";"6";"2";"3";"3";"3";"0";"False";"True"
"6,42";"10045,0542";"2,3638";"36,2015";"2,3638";"3";"10";"3";"2";"0";"0";"2";"7";"3";"3";"3";"4";"0";"False";"False"
"7,49";"10045,0542";"2,3638";"36,2015";"2,3638";"3";"10";"3";"0";"0";"0";"3";"8";"3";"3";"3";"5";"0";"False";"False"
"1,9";"10045,0542";"2,3638";"36,2015";"2,3638";"3";"10";"3";"0";"0";"1";"0";"9";"3";"3";"4";"5";"0";"False";"True"
"3,18";"10052,1456";"2,3638";"36,2015";"2,3638";"3";"10";"3";"1";"0";"0";"1";"10";"4";"3";"4";"6";"0";"False";"True"
"1,76";"10049,7818";"2,3638";"36,2015";"4,964";"3";"10";"3";"0";"1";"1";"0";"11";"4";"4";"5";"6";"0";"False";"True"
"2,07";"10044,8178";"2,3638";"36,2015";"10,9208";"3";"10";"3";"0";"2";"0";"1";"12";"4";"5";"5";"7";"0";"False";"True"
"2,41";"10033,897";"2,3638";"36,2015";"25,1178";"3";"10";"3";"0";"3";"0";"2";"13";"4";"6";"5";"8";"0";"False";"True"
"1,55";"10008,7792";"2,3638";"36,2015";"60,2827";"3";"10";"3";"0";"4";"1";"0";"14";"4";"7";"6";"8";"0";"False";"True"
"1,92";"9948,496500000001";"2,3638";"36,2015";"144,6785";"3";"10";"3";"0";"5";"2";"0";"15";"4";"8";"7";"8";"0";"False";"True"
"11,81";"10382,532000000001";"2,3638";"36,2015";"2,3638";"3";"10";"3";"1";"0";"0";"1";"0";"5";"8";"7";"9";"1";"False";"True"
"13,71";"10389,6234";"2,3638";"36,2015";"2,3638";"3";"10";"3";"2";"0";"0";"2";"0";"6";"8";"7";"10";"2";"False";"False"
"1,05";"10389,6234";"2,3638";"36,2015";"2,3638";"3";"10";"3";"0";"0";"1";"0";"1";"6";"8";"8";"10";"2";"False";"True"
"1,27";"10387,259600000001";"2,3638";"36,2015";"4,964";"3";"10";"3";"0";"1";"2";"0";"2";"6";"9";"9";"10";"2";"False";"True"
"1,77";"10382,295600000001";"2,3638";"36,2015";"10,9208";"3";"10";"3";"0";"2";"3";"0";"3";"6";"10";"10";"10";"2";"False";"True"
"2,82";"10371,374800000001";"2,3638";"36,2015";"25,1178";"3";"10";"3";"0";"3";"0";"1";"4";"6";"11";"10";"11";"2";"False";"True"
"2,78";"10346,257000000001";"2,3638";"36,2015";"60,2827";"3";"10";"3";"0";"4";"0";"2";"5";"6";"12";"10";"12";"2";"False";"True"
"1,86";"10285,974300000002";"2,3638";"36,2015";"144,6785";"3";"10";"3";"0";"5";"1";"0";"6";"6";"13";"11";"12";"2";"False";"True"
"1,24";"10141,295800000002";"2,3638";"36,2015";"347,2284";"3";"10";"3";"0";"6";"2";"0";"7";"6";"14";"12";"12";"2";"False";"True"
"1,58";"9794,067400000002";"2,3638";"36,2015";"833,3482";"3";"10";"3";"0";"7";"3";"0";"8";"6";"15";"13";"12";"2";"False";"True"
"1,97";"8960,719200000001";"2,3638";"36,2015";"2,3638";"3";"10";"3";"0";"8";"4";"0";"9";"6";"16";"14";"12";"2";"False";"False"
"1,99";"8960,719200000001";"2,3638";"36,2015";"2,3638";"3";"10";"3";"0";"0";"5";"0";"10";"6";"16";"15";"12";"2";"False";"False"
"7,9";"8960,719200000001";"2,3638";"36,2015";"2,3638";"3";"10";"3";"0";"0";"0";"1";"11";"6";"16";"15";"13";"2";"False";"False"
"1,1";"8960,719200000001";"2,3638";"36,2015";"2,3638";"3";"10";"3";"0";"0";"1";"0";"12";"6";"16";"16";"13";"2";"False";"True"
"114,21";"8967,8106";"2,3638";"36,2015";"2,3638";"3";"10";"3";"1";"0";"0";"1";"0";"7";"16";"16";"14";"3";"False";"True"
"7,16";"8974,902";"2,3638";"36,2015";"2,3638";"3";"10";"3";"2";"0";"0";"2";"1";"8";"16";"16";"15";"3";"False";"False"
"1,24";"8974,902";"2,3638";"36,2015";"2,3638";"3";"10";"3";"0";"0";"1";"0";"2";"8";"16";"17";"15";"3";"False";"True"
"1,31";"8972,5382";"2,3638";"36,2015";"4,964";"3";"10";"3";"0";"1";"2";"0";"3";"8";"17";"18";"15";"3";"False";"True"
"9,04";"8987,4302";"2,3638";"36,2015";"2,3638";"3";"10";"3";"1";"0";"0";"1";"4";"9";"17";"18";"16";"3";"False";"True"
