#TYPE System.Management.Automation.PSCustomObject
"Odds";"wallet";"Bet_base";"Bet_moonBase";"Bet_current";"Payout_base";"Payout_moonBase";"Payout_current";"Counter_now_win";"Counter_now_loss";"Counter_now_red";"Counter_now_green";"Counter_now_noyellow";"Counter_all_win";"Counter_all_loss";"Counter_all_red";"Counter_all_green";"Counter_all_yellow";"moonBetting";"placebet"
"1,1";"10000";"10";"100";"10";"3";"10";"3";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"False";"True"
"2,44";"9990";"9,99";"99,9";"22";"3";"10";"3";"0";"1";"0";"1";"2";"0";"1";"1";"1";"0";"False";"True"
"7,45";"10056";"10,056";"100,56";"10,056";"3";"10";"3";"1";"0";"0";"2";"3";"1";"1";"1";"2";"0";"False";"True"
"1,56";"10045,944";"10,046";"100,459";"22,1232";"3";"10";"3";"0";"1";"1";"0";"4";"1";"2";"2";"2";"0";"False";"True"
"1,55";"10023,8208";"10,024";"100,238";"48,671";"3";"10";"3";"0";"2";"2";"0";"5";"1";"3";"3";"2";"0";"False";"True"
"3,74";"10169,8338";"10,17";"101,698";"10,17";"3";"10";"3";"1";"0";"0";"1";"6";"2";"3";"3";"3";"0";"False";"True"
"6,42";"10200,3438";"10,2";"102,003";"10,2";"3";"10";"3";"2";"0";"0";"2";"7";"3";"3";"3";"4";"0";"False";"True"
"7,49";"10230,943800000001";"10,231";"102,309";"10,231";"3";"10";"3";"3";"0";"0";"3";"8";"4";"3";"3";"5";"0";"False";"False"
"1,9";"10230,943800000001";"10,231";"102,309";"10,231";"3";"10";"3";"0";"0";"1";"0";"9";"4";"3";"4";"5";"0";"False";"True"
"3,18";"10261,6368";"10,262";"102,616";"10,262";"3";"10";"3";"1";"0";"0";"1";"10";"5";"3";"4";"6";"0";"False";"True"
"1,76";"10251,3748";"10,251";"102,514";"22,5764";"3";"10";"3";"0";"1";"1";"0";"11";"5";"4";"5";"6";"0";"False";"True"
"2,07";"10228,7984";"10,229";"102,288";"49,6681";"3";"10";"3";"0";"2";"0";"1";"12";"5";"5";"5";"7";"0";"False";"True"
"2,41";"10179,130299999999";"10,179";"101,791";"109,2698";"3";"10";"3";"0";"3";"0";"2";"13";"5";"6";"5";"8";"0";"False";"True"
"1,55";"10069,860499999999";"10,07";"100,699";"240,3936";"3";"10";"3";"0";"4";"1";"0";"14";"5";"7";"6";"8";"0";"False";"True"
