#TYPE System.Management.Automation.PSCustomObject
"Odds";"wallet";"Bet_base";"Bet_moonBase";"Bet_current";"Payout_base";"Payout_moonBase";"Payout_current";"Counter_now_win";"Counter_now_loss";"Counter_now_red";"Counter_now_green";"Counter_now_noyellow";"Counter_all_win";"Counter_all_loss";"Counter_all_red";"Counter_all_green";"Counter_all_yellow";"moonBetting";"placebet"
"1,1";"10000";"5,8818";"36,2015";"5,8818";"3";"10";"3";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"False";"True"
"2,44";"9994,1182";"5,8818";"36,2015";"13,5281";"3";"10";"3";"0";"1";"0";"1";"2";"0";"1";"1";"1";"0";"False";"True"
"7,45";"10034,7025";"5,8818";"36,2015";"5,8818";"3";"10";"3";"1";"0";"0";"2";"3";"1";"1";"1";"2";"0";"False";"True"
"1,56";"10028,8207";"5,8818";"36,2015";"13,5281";"3";"10";"3";"0";"1";"1";"0";"4";"1";"2";"2";"2";"0";"False";"True"
"1,55";"10015,2926";"5,8818";"36,2015";"29,7618";"3";"10";"3";"0";"2";"2";"0";"5";"1";"3";"3";"2";"0";"False";"True"
"3,74";"10104,578";"5,8818";"36,2015";"5,8818";"3";"10";"3";"1";"0";"0";"1";"6";"2";"3";"3";"3";"0";"False";"True"
"6,42";"10122,2234";"5,8818";"36,2015";"5,8818";"3";"10";"3";"2";"0";"0";"2";"7";"3";"3";"3";"4";"0";"False";"False"
"7,49";"10122,2234";"5,8818";"36,2015";"5,8818";"3";"10";"3";"0";"0";"0";"3";"8";"3";"3";"3";"5";"0";"False";"False"
"1,9";"10122,2234";"5,8818";"36,2015";"5,8818";"3";"10";"3";"0";"0";"1";"0";"9";"3";"3";"4";"5";"0";"False";"True"
"3,18";"10139,8688";"5,8818";"36,2015";"5,8818";"3";"10";"3";"1";"0";"0";"1";"10";"4";"3";"4";"6";"0";"False";"True"
"1,76";"10133,987";"5,8818";"36,2015";"13,5281";"3";"10";"3";"0";"1";"1";"0";"11";"4";"4";"5";"6";"0";"False";"True"
"2,07";"10120,4589";"5,8818";"36,2015";"29,7618";"3";"10";"3";"0";"2";"0";"1";"12";"4";"5";"5";"7";"0";"False";"True"
"2,41";"10090,6971";"5,8818";"36,2015";"62,4998";"3";"10";"3";"0";"3";"0";"2";"13";"4";"6";"5";"8";"0";"False";"True"
"1,55";"10028,1973";"5,8818";"36,2015";"124,9996";"3";"10";"3";"0";"4";"1";"0";"14";"4";"7";"6";"8";"0";"False";"True"
"1,92";"9903,1977";"5,8818";"36,2015";"249,9992";"3";"10";"3";"0";"5";"2";"0";"15";"4";"8";"7";"8";"0";"False";"True"
"11,81";"10653,1953";"5,8818";"36,2015";"5,8818";"3";"10";"3";"1";"0";"0";"1";"0";"5";"8";"7";"9";"1";"False";"True"
"13,71";"10670,8407";"5,8818";"36,2015";"5,8818";"3";"10";"3";"2";"0";"0";"2";"0";"6";"8";"7";"10";"2";"False";"False"
"1,05";"10670,8407";"5,8818";"36,2015";"5,8818";"3";"10";"3";"0";"0";"1";"0";"1";"6";"8";"8";"10";"2";"False";"True"
"1,27";"10664,9589";"5,8818";"36,2015";"13,5281";"3";"10";"3";"0";"1";"2";"0";"2";"6";"9";"9";"10";"2";"False";"True"
"1,77";"10651,4308";"5,8818";"36,2015";"29,7618";"3";"10";"3";"0";"2";"3";"0";"3";"6";"10";"10";"10";"2";"False";"True"
"2,82";"10621,669";"5,8818";"36,2015";"62,4998";"3";"10";"3";"0";"3";"0";"1";"4";"6";"11";"10";"11";"2";"False";"True"
"2,78";"10559,1692";"5,8818";"36,2015";"124,9996";"3";"10";"3";"0";"4";"0";"2";"5";"6";"12";"10";"12";"2";"False";"True"
"1,86";"10434,1696";"5,8818";"36,2015";"249,9992";"3";"10";"3";"0";"5";"1";"0";"6";"6";"13";"11";"12";"2";"False";"True"
"1,24";"10184,1704";"5,8818";"36,2015";"499,9984";"3";"10";"3";"0";"6";"2";"0";"7";"6";"14";"12";"12";"2";"False";"True"
"1,58";"9684,172";"5,8818";"36,2015";"999,9968";"3";"10";"3";"0";"7";"3";"0";"8";"6";"15";"13";"12";"2";"False";"True"
"1,97";"8684,1752";"5,8818";"36,2015";"5,8818";"3";"10";"3";"0";"8";"4";"0";"9";"6";"16";"14";"12";"2";"False";"False"
"1,99";"8684,1752";"5,8818";"36,2015";"5,8818";"3";"10";"3";"0";"0";"5";"0";"10";"6";"16";"15";"12";"2";"False";"False"
"7,9";"8684,1752";"5,8818";"36,2015";"5,8818";"3";"10";"3";"0";"0";"0";"1";"11";"6";"16";"15";"13";"2";"False";"False"
"1,1";"8684,1752";"5,8818";"36,2015";"5,8818";"3";"10";"3";"0";"0";"1";"0";"12";"6";"16";"16";"13";"2";"False";"True"
"114,21";"8701,8206";"5,8818";"36,2015";"5,8818";"3";"10";"3";"1";"0";"0";"1";"0";"7";"16";"16";"14";"3";"False";"True"
"7,16";"8719,466";"5,8818";"36,2015";"5,8818";"3";"10";"3";"2";"0";"0";"2";"1";"8";"16";"16";"15";"3";"False";"False"
"1,24";"8719,466";"5,8818";"36,2015";"5,8818";"3";"10";"3";"0";"0";"1";"0";"2";"8";"16";"17";"15";"3";"False";"True"
"1,31";"8713,5842";"5,8818";"36,2015";"13,5281";"3";"10";"3";"0";"1";"2";"0";"3";"8";"17";"18";"15";"3";"False";"True"
"9,04";"8754,1685";"5,8818";"36,2015";"5,8818";"3";"10";"3";"1";"0";"0";"1";"4";"9";"17";"18";"16";"3";"False";"True"
"3,24";"8771,8139";"5,8818";"36,2015";"5,8818";"3";"10";"3";"2";"0";"0";"2";"5";"10";"17";"18";"17";"3";"False";"False"
"1,4";"8771,8139";"5,8818";"36,2015";"5,8818";"3";"10";"3";"0";"0";"1";"0";"6";"10";"17";"19";"17";"3";"False";"True"
"5,56";"8789,4593";"5,8818";"36,2015";"5,8818";"3";"10";"3";"1";"0";"0";"1";"7";"11";"17";"19";"18";"3";"False";"True"
"3,78";"8807,1047";"5,8818";"36,2015";"5,8818";"3";"10";"3";"2";"0";"0";"2";"8";"12";"17";"19";"19";"3";"False";"False"
"1";"8807,1047";"5,8818";"36,2015";"5,8818";"3";"10";"3";"0";"0";"1";"0";"9";"12";"17";"20";"19";"3";"False";"True"
"1,66";"8801,2229";"5,8818";"36,2015";"13,5281";"3";"10";"3";"0";"1";"2";"0";"10";"12";"18";"21";"19";"3";"False";"True"
"1,41";"8787,6948";"5,8818";"36,2015";"29,7618";"3";"10";"3";"0";"2";"3";"0";"11";"12";"19";"22";"19";"3";"False";"True"
"1,03";"8757,933";"5,8818";"36,2015";"62,4998";"3";"10";"3";"0";"3";"4";"0";"12";"12";"20";"23";"19";"3";"False";"True"
