#TYPE System.Management.Automation.PSCustomObject
"Odds";"wallet";"Bet_base";"Bet_moonBase";"Bet_current";"Payout_base";"Payout_moonBase";"Payout_current";"Counter_now_win";"Counter_now_loss";"Counter_now_red";"Counter_now_green";"Counter_now_noyellow";"Counter_all_win";"Counter_all_loss";"Counter_all_red";"Counter_all_green";"Counter_all_yellow";"moonBetting";"placebet"
"1,1";"0,04";"0,00004";"0,0004";"0,00004";"3";"10";"3";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"False";"True"
"2,44";"0,03996";"0,00004";"0,0004";"0,000092";"3";"10";"3";"0";"1";"0";"1";"2";"0";"1";"1";"1";"0";"False";"True"
"7,45";"0,040236";"0,00004";"0,0004";"0,00004";"3";"10";"3";"1";"0";"0";"2";"3";"1";"1";"1";"2";"0";"False";"True"
"1,56";"0,040196";"0,00004";"0,0004";"0,000092";"3";"10";"3";"0";"1";"1";"0";"4";"1";"2";"2";"2";"0";"False";"True"
"1,55";"0,040104";"0,00004";"0,0004";"0,000202";"3";"10";"3";"0";"2";"2";"0";"5";"1";"3";"3";"2";"0";"False";"True"
"3,74";"0,04071";"0,00004";"0,00041";"0,00004";"3";"10";"3";"1";"0";"0";"1";"6";"2";"3";"3";"3";"0";"False";"True"
"6,42";"0,040830000000000005";"0,00004";"0,00041";"0,00004";"3";"10";"3";"2";"0";"0";"2";"7";"3";"3";"3";"4";"0";"False";"False"
"7,49";"0,040830000000000005";"0,00004";"0,00041";"0,00004";"3";"10";"3";"0";"0";"0";"3";"8";"3";"3";"3";"5";"0";"False";"False"
"1,9";"0,040830000000000005";"0,00004";"0,00041";"0,00004";"3";"10";"3";"0";"0";"1";"0";"9";"3";"3";"4";"5";"0";"False";"True"
"3,18";"0,04095000000000001";"0,00004";"0,00041";"0,00004";"3";"10";"3";"1";"0";"0";"1";"10";"4";"3";"4";"6";"0";"False";"True"
"1,76";"0,04091000000000001";"0,00004";"0,00041";"0,000092";"3";"10";"3";"0";"1";"1";"0";"11";"4";"4";"5";"6";"0";"False";"True"
